season,round,race_name,circuit_id,circuit_name,country,locality,date,race_url
2011,4,Turkish Grand Prix,istanbul,Istanbul Park,Turkey,Istanbul,2011-05-08,https://en.wikipedia.org/wiki/2011_Turkish_Grand_Prix
2011,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,Spain,Barcelona,2011-05-22,https://en.wikipedia.org/wiki/2011_Spanish_Grand_Prix
2011,6,Monaco Grand Prix,monaco,Circuit de Monaco,Monaco,Monte Carlo,2011-05-29,https://en.wikipedia.org/wiki/2011_Monaco_Grand_Prix
2011,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,Canada,Montreal,2011-06-12,https://en.wikipedia.org/wiki/2011_Canadian_Grand_Prix
2011,8,European Grand Prix,valencia,Valencia Street Circuit,Spain,Valencia,2011-06-26,https://en.wikipedia.org/wiki/2011_European_Grand_Prix
2011,9,British Grand Prix,silverstone,Silverstone Circuit,UK,Silverstone,2011-07-10,https://en.wikipedia.org/wiki/2011_British_Grand_Prix
2011,10,German Grand Prix,nurburgring,Nürburgring,Germany,Nürburg,2011-07-24,https://en.wikipedia.org/wiki/2011_German_Grand_Prix
2011,11,Hungarian Grand Prix,hungaroring,Hungaroring,Hungary,Budapest,2011-07-31,https://en.wikipedia.org/wiki/2011_Hungarian_Grand_Prix
2011,12,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Belgium,Spa,2011-08-28,https://en.wikipedia.org/wiki/2011_Belgian_Grand_Prix
2011,13,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Italy,Monza,2011-09-11,https://en.wikipedia.org/wiki/2011_Italian_Grand_Prix
2011,14,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,Singapore,Marina Bay,2011-09-25,https://en.wikipedia.org/wiki/2011_Singapore_Grand_Prix
2011,15,Japanese Grand Prix,suzuka,Suzuka Circuit,Japan,Suzuka,2011-10-09,https://en.wikipedia.org/wiki/2011_Japanese_Grand_Prix
2011,16,Korean Grand Prix,yeongam,Korean International Circuit,Korea,Yeongam County,2011-10-16,https://en.wikipedia.org/wiki/2011_Korean_Grand_Prix
2011,17,Indian Grand Prix,buddh,Buddh International Circuit,India,Uttar Pradesh,2011-10-30,https://en.wikipedia.org/wiki/2011_Indian_Grand_Prix
2011,18,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,UAE,Abu Dhabi,2011-11-13,https://en.wikipedia.org/wiki/2011_Abu_Dhabi_Grand_Prix
2011,19,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,Brazil,São Paulo,2011-11-27,https://en.wikipedia.org/wiki/2011_Brazilian_Grand_Prix
2012,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,Melbourne,2012-03-18,https://en.wikipedia.org/wiki/2012_Australian_Grand_Prix
2012,2,Malaysian Grand Prix,sepang,Sepang International Circuit,Malaysia,Kuala Lumpur,2012-03-25,https://en.wikipedia.org/wiki/2012_Malaysian_Grand_Prix
2012,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,China,Shanghai,2012-04-15,https://en.wikipedia.org/wiki/2012_Chinese_Grand_Prix
2012,4,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Bahrain,Sakhir,2012-04-22,https://en.wikipedia.org/wiki/2012_Bahrain_Grand_Prix
2012,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,Spain,Barcelona,2012-05-13,https://en.wikipedia.org/wiki/2012_Spanish_Grand_Prix
2012,6,Monaco Grand Prix,monaco,Circuit de Monaco,Monaco,Monte Carlo,2012-05-27,https://en.wikipedia.org/wiki/2012_Monaco_Grand_Prix
2012,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,Canada,Montreal,2012-06-10,https://en.wikipedia.org/wiki/2012_Canadian_Grand_Prix
2012,8,European Grand Prix,valencia,Valencia Street Circuit,Spain,Valencia,2012-06-24,https://en.wikipedia.org/wiki/2012_European_Grand_Prix
2012,9,British Grand Prix,silverstone,Silverstone Circuit,UK,Silverstone,2012-07-08,https://en.wikipedia.org/wiki/2012_British_Grand_Prix
2012,10,German Grand Prix,hockenheimring,Hockenheimring,Germany,Hockenheim,2012-07-22,https://en.wikipedia.org/wiki/2012_German_Grand_Prix
2012,11,Hungarian Grand Prix,hungaroring,Hungaroring,Hungary,Budapest,2012-07-29,https://en.wikipedia.org/wiki/2012_Hungarian_Grand_Prix
2012,12,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Belgium,Spa,2012-09-02,https://en.wikipedia.org/wiki/2012_Belgian_Grand_Prix
2012,13,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Italy,Monza,2012-09-09,https://en.wikipedia.org/wiki/2012_Italian_Grand_Prix
2012,14,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,Singapore,Marina Bay,2012-09-23,https://en.wikipedia.org/wiki/2012_Singapore_Grand_Prix
2012,15,Japanese Grand Prix,suzuka,Suzuka Circuit,Japan,Suzuka,2012-10-07,https://en.wikipedia.org/wiki/2012_Japanese_Grand_Prix
2012,16,Korean Grand Prix,yeongam,Korean International Circuit,Korea,Yeongam County,2012-10-14,https://en.wikipedia.org/wiki/2012_Korean_Grand_Prix
2012,17,Indian Grand Prix,buddh,Buddh International Circuit,India,Uttar Pradesh,2012-10-28,https://en.wikipedia.org/wiki/2012_Indian_Grand_Prix
2012,18,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,UAE,Abu Dhabi,2012-11-04,https://en.wikipedia.org/wiki/2012_Abu_Dhabi_Grand_Prix
2012,19,United States Grand Prix,americas,Circuit of the Americas,USA,Austin,2012-11-18,https://en.wikipedia.org/wiki/2012_United_States_Grand_Prix
2012,20,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,Brazil,São Paulo,2012-11-25,https://en.wikipedia.org/wiki/2012_Brazilian_Grand_Prix
2013,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Australia,Melbourne,2013-03-17,https://en.wikipedia.org/wiki/2013_Australian_Grand_Prix
2013,2,Malaysian Grand Prix,sepang,Sepang International Circuit,Malaysia,Kuala Lumpur,2013-03-24,https://en.wikipedia.org/wiki/2013_Malaysian_Grand_Prix
2013,3,Chinese Grand Prix,shanghai,Shanghai International Circuit,China,Shanghai,2013-04-14,https://en.wikipedia.org/wiki/2013_Chinese_Grand_Prix
2013,4,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Bahrain,Sakhir,2013-04-21,https://en.wikipedia.org/wiki/2013_Bahrain_Grand_Prix
2013,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,Spain,Barcelona,2013-05-12,https://en.wikipedia.org/wiki/2013_Spanish_Grand_Prix
2013,6,Monaco Grand Prix,monaco,Circuit de Monaco,Monaco,Monte Carlo,2013-05-26,https://en.wikipedia.org/wiki/2013_Monaco_Grand_Prix
2013,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,Canada,Montreal,2013-06-09,https://en.wikipedia.org/wiki/2013_Canadian_Grand_Prix
2013,8,British Grand Prix,silverstone,Silverstone Circuit,UK,Silverstone,2013-06-30,https://en.wikipedia.org/wiki/2013_British_Grand_Prix
2013,9,German Grand Prix,nurburgring,Nürburgring,Germany,Nürburg,2013-07-07,https://en.wikipedia.org/wiki/2013_German_Grand_Prix
